,Unnamed: 0,Ticker,CIK,Year,Y-1 ROE,ROE,Y+1 ROE,Y-1 Asset,Asset,Y+1 Asset,Year-1 Revenue,Revenue,Year+1 Revenue,Year-1 Net Income,Net Income,Year+1 Net Income,Accession Number,Conformed Submission Type,Conformed Period Of Report,Filed As Of Date,Date As Of Change,Company Conformed Name,Fiscal Year End,Y-1 Profit Margin,Y Profit Margin,Y+1 Profit Margin,Current Revenue YOY,Next Revenue YOY,Current Profit Margin YOY,Next Profit Margin YOY,Current ROE YOY,Future ROE YOY
0,0,A US,1090872,2002,3.185646283,-20.06610927,-55.24090726,7986.0,8203.0,6297.0,8396.0,6010.0,6056.0,174.0,-1032.0,-2058.0,0000891618-02-005622,10-K,2002-10-31,2002-12-20,Not found,AGILENT TECHNOLOGIES INC,1031,0.0207241543592186,-0.1717138103161397,-0.3398282694848084,-0.284182944259171,0.007653910149750365,,-0.1681144591686686,-0.23251755552999998,-0.3517479799
1,1,A US,1090872,2003,-20.06610927,-55.24090726,11.54387611,8203.0,6297.0,7144.0,6010.0,6056.0,5160.0,-1032.0,-2058.0,369.0,0001193125-03-098260,10-K,2003-10-31,2003-12-22,Not found,AGILENT TECHNOLOGIES INC,1031,-0.1717138103161397,-0.3398282694848084,0.0715116279069767,0.007653910149750365,-0.14795244385733153,-0.1681144591686686,0.4113398973917851,-0.3517479799,0.6678478337
2,2,A US,1090872,2006,8.549019608,85.57381291,18.54112177,6751.0,7369.0,7554.0,4685.0,4973.0,5420.0,327.0,3307.0,638.0,0001047469-06-015256,10-K,2006-10-31,2006-12-22,20061222,AGILENT TECHNOLOGIES INC,1031,0.0697972251867662,0.6649909511361352,0.1177121771217712,0.06147278548559232,0.0898853810577116,1.0048192206209436,-0.547278774014364,0.77024793302,-0.6703269114
3,3,A US,1090872,2007,85.57381291,18.54112177,23.92542724,7369.0,7554.0,7437.0,4973.0,5420.0,5774.0,3307.0,638.0,693.0,0001047469-07-010272,10-K,2007-10-31,2007-12-21,20071221,AGILENT TECHNOLOGIES INC,1031,0.6649909511361352,0.1177121771217712,0.1200207828195358,0.0898853810577116,0.06531365313653126,-0.547278774014364,0.0023086056977646,-0.6703269114,0.05384305470000001
4,4,A US,1090872,2008,18.54112177,23.92542724,-1.224086871,7554.0,7437.0,7612.0,5420.0,5774.0,4481.0,638.0,693.0,-31.0,0001047469-08-013312,10-K,2008-10-31,2008-12-19,20081219,AGILENT TECHNOLOGIES INC,1031,0.1177121771217712,0.1200207828195358,-0.0069180986386967,0.06531365313653126,-0.22393488049878763,0.0023086056977646,-0.1269388814582325,0.05384305470000001,-0.25149514111000004
5,5,A US,1090872,2010,-1.224086871,23.85769097,26.85774947,7612.0,9696.0,9057.0,4481.0,5444.0,6615.0,-31.0,684.0,1012.0,0001047469-10-010499,10-K,2010-10-31,2010-12-20,20101217,AGILENT TECHNOLOGIES INC,1031,-0.0069180986386967,0.1256429096252755,0.1529856386999244,0.21490738674403032,0.21509919177075676,0.0056221268057396,0.0273427290746488,0.25081777841,0.030000585000000014
6,6,A US,1090872,2011,23.85769097,26.85774947,24.29926238,9696.0,9057.0,10536.0,5444.0,6615.0,6858.0,684.0,1012.0,1153.0,0001047469-11-010124,10-K,2011-10-31,2011-12-16,20111216,AGILENT TECHNOLOGIES INC,1031,0.1256429096252755,0.1529856386999244,0.1681248177311169,0.21509919177075676,0.03673469387755102,0.0273427290746488,0.0151391790311925,0.030000585000000014,-0.025584870900000035
7,7,A US,1090872,2012,26.85774947,24.29926238,14.02369125,9057.0,10536.0,10686.0,6615.0,6858.0,3894.0,1012.0,1153.0,734.0,0001090872-12-000018,10-K,2012-10-31,2012-12-20,20121220,AGILENT TECHNOLOGIES INC,1031,0.1529856386999244,0.1681248177311169,0.1884951206985105,0.03673469387755102,-0.4321959755030621,0.0151391790311925,0.0203703029673935,-0.025584870900000035,-0.10275571129999998
8,8,A US,1090872,2013,24.29926238,14.02369125,10.37120997,10536.0,10686.0,10815.0,6858.0,3894.0,4048.0,1153.0,734.0,549.0,0001090872-13-000029,10-K,2013-10-31,2013-12-19,20131219,AGILENT TECHNOLOGIES INC,1031,0.1681248177311169,0.1884951206985105,0.1356225296442687,-0.4321959755030621,0.039548022598870025,0.0203703029673935,-0.0528725910542417,-0.10275571129999998,-0.0365248128
9,9,A US,1090872,2014,14.02369125,10.37120997,8.470637938,10686.0,10815.0,7479.0,3894.0,4048.0,4038.0,734.0,549.0,401.0,0001090872-14-000045,10-K,2014-10-31,2014-12-22,20141222,AGILENT TECHNOLOGIES INC,1031,0.1884951206985105,0.1356225296442687,0.0993065874195146,0.039548022598870025,-0.0024703557312253377,-0.0528725910542417,-0.0363159422247541,-0.0365248128,-0.019005720320000013
